time;flow
112,06;3,257
112,078;3,258
112,096;3,259
112,114;3,26
112,132;3,261
112,15;3,261
112,168;3,261
112,186;3,262
112,204;3,262
112,222;3,262
112,24;3,262
112,258;3,262
112,276;3,263
112,294;3,263
112,312;3,263
112,33;3,263
112,348;3,263
112,366;3,263
112,384;3,262
112,402;3,262
112,42;3,262
112,438;3,263
112,456;3,263
112,474;3,263
112,492;3,263
112,51;3,263
112,528;3,263
112,546;3,264
112,564;3,264
112,582;3,265
112,6;3,265
112,618;3,266
112,636;3,267
112,654;3,268
112,672;3,268
112,69;3,269
112,708;3,27
112,726;3,271
112,744;3,273
112,762;3,274
112,78;3,275
112,798;3,276
112,816;3,278
112,834;3,279
112,852;3,28
112,87;3,282
112,888;3,283
112,906;3,285
112,924;3,287
112,942;3,288
112,96;3,29
112,978;3,292
112,996;3,293
113,014;3,295
113,032;3,297
113,05;3,299
113,068;3,301
113,086;3,303
113,104;3,305
113,122;3,306
113,14;3,308
113,158;3,31
113,176;3,312
113,194;3,314
113,212;3,316
113,23;3,318
113,248;3,32
113,266;3,322
113,284;3,324
113,302;3,326
113,32;3,328
113,338;3,33
113,356;3,333
113,374;3,335
113,392;3,337
113,41;3,339
113,428;3,34
113,446;3,342
113,464;3,344
113,482;3,346
113,5;3,348
113,518;3,35
113,536;3,352
113,554;3,354
113,572;3,356
113,59;3,358
113,608;3,359
113,626;3,361
113,644;3,363
113,662;3,365
113,68;3,367
113,698;3,368
113,716;3,37
113,734;3,372
113,752;3,374
113,77;3,375
113,788;3,377
113,806;3,379
113,824;3,38
113,842;3,382
113,86;3,383
113,878;3,385
113,896;3,387
113,914;3,388
113,932;3,39
113,95;3,391
113,968;3,393
113,986;3,394
114,004;3,396
114,022;3,397
114,04;3,398
114,058;3,4
114,076;3,401
114,094;3,403
114,112;3,404
114,13;3,405
114,148;3,407
114,166;3,408
114,184;3,409
114,202;3,41
114,22;3,412
114,238;3,413
114,256;3,414
114,274;3,415
114,292;3,417
114,31;3,418
114,328;3,419
114,346;3,42
114,364;3,421
114,382;3,422
114,4;3,423
114,418;3,424
114,436;3,425
114,454;3,426
114,472;3,427
114,49;3,428
114,508;3,43
114,526;3,431
114,544;3,432
114,562;3,433
114,58;3,434
114,598;3,435
114,616;3,436
114,634;3,437
114,652;3,438
114,67;3,439
114,688;3,441
114,706;3,442
114,724;3,443
114,742;3,444
114,76;3,445
114,778;3,447
114,796;3,448
114,814;3,45
114,832;3,451
114,85;3,452
114,868;3,454
114,886;3,455
114,904;3,457
114,922;3,459
114,94;3,46
114,958;3,462
114,976;3,464
114,994;3,466
115,012;3,468
115,03;3,47
115,048;3,472
115,066;3,474
115,084;3,476
115,102;3,479
115,12;3,481
115,138;3,483
115,156;3,486
115,174;3,489
115,192;3,491
115,21;3,494
115,228;3,497
115,246;3,5
115,264;3,503
115,282;3,506
115,3;3,509
115,318;3,512
115,336;3,516
115,354;3,519
115,372;3,523
115,39;3,526
115,408;3,53
115,426;3,533
115,444;3,537
115,462;3,54
115,48;3,544
115,498;3,548
115,516;3,551
115,534;3,555
115,552;3,559
115,57;3,563
115,588;3,566
115,606;3,57
115,624;3,574
115,642;3,577
115,66;3,581
115,678;3,585
115,696;3,588
115,714;3,592
115,732;3,595
115,75;3,599
115,768;3,602
115,786;3,606
115,804;3,609
115,822;3,612
115,84;3,615
115,858;3,619
115,876;3,622
115,894;3,625
115,912;3,627
115,93;3,63
115,948;3,633
115,966;3,635
115,984;3,638
116,002;3,64
116,02;3,642
116,038;3,644
116,056;3,646
116,074;3,648
116,092;3,65
116,11;3,651
116,128;3,653
116,146;3,654
116,164;3,655
116,182;3,656
116,2;3,657
116,218;3,657
116,236;3,658
116,254;3,658
116,272;3,658
116,29;3,659
116,308;3,659
116,326;3,658
116,344;3,658
116,362;3,658
116,38;3,658
116,398;3,657
116,416;3,657
116,434;3,656
116,452;3,655
116,47;3,654
116,488;3,653
116,506;3,652
116,524;3,651
116,542;3,65
116,56;3,649
116,578;3,648
116,596;3,647
116,614;3,645
116,632;3,644
116,65;3,643
116,668;3,641
116,686;3,64
116,704;3,638
116,722;3,637
116,74;3,636
116,758;3,634
116,776;3,633
116,794;3,631
116,812;3,629
116,83;3,628
116,848;3,626
116,866;3,625
116,884;3,623
116,902;3,622
116,92;3,621
116,938;3,619
116,956;3,618
116,974;3,616
116,992;3,615
117,01;3,614
117,028;3,613
117,046;3,612
117,064;3,61
117,082;3,609
117,1;3,608
117,118;3,607
117,136;3,606
117,154;3,605
117,172;3,604
117,19;3,603
117,208;3,602
117,226;3,601
117,244;3,6
117,262;3,599
117,28;3,598
117,298;3,597
117,316;3,596
117,334;3,595
117,352;3,594
117,37;3,592
117,388;3,591
117,406;3,59
117,424;3,588
117,442;3,586
117,46;3,585
117,478;3,583
117,496;3,581
117,514;3,579
117,532;3,577
117,55;3,575
117,568;3,573
117,586;3,57
117,604;3,568
117,622;3,565
117,64;3,562
117,658;3,559
117,676;3,556
117,694;3,553
117,712;3,549
117,73;3,546
117,748;3,542
117,766;3,538
117,784;3,533
117,802;3,529
117,82;3,524
117,838;3,52
117,856;3,515
117,874;3,509
117,892;3,504
117,91;3,498
117,928;3,492
117,946;3,486
117,964;3,48
117,982;3,473
118;3,466
118,018;3,459
118,036;3,452
118,054;3,445
118,072;3,437
118,09;3,43
118,108;3,422
118,126;3,414
118,144;3,406
118,162;3,398
118,18;3,39
118,198;3,382
118,216;3,374
118,234;3,365
118,252;3,357
118,27;3,349
118,288;3,34
118,306;3,332
118,324;3,324
118,342;3,315
118,36;3,307
118,378;3,299
118,396;3,291
118,414;3,283
118,432;3,275
118,45;3,267
118,468;3,259
