time;flow;;
17301,12;0,0583;;
17301,76;0,0583;;
17302,4;0,0583;;
17303,04;0,0583;;
17303,68;0,0583;;
17304,32;0,0583;;
17304,96;0,0583;;
17305,6;0,0583;;
17306,24;0,0583;;
17306,88;0,0583;;
17307,52;0,0583;;
17308,16;0,0583;;
17308,8;0,0583;;
17309,44;0,0583;;
17310,08;0,0583;;
17310,72;0,0583;;
17311,36;0,0583;;
17312;0,0583;;
17312,64;0,0583;;
17313,28;0,0583;;
17313,92;0,0583;;
17314,56;0,0583;;
17315,2;0,0583;;
17315,84;0,0583;;
17316,48;0,0583;;
17317,12;0,0583;;
17317,76;0,0583;;
17318,4;0,0583;;
17319,04;0,0583;;
17319,68;0,0583;;
17320,32;0,0583;;
17320,96;0,0583;;
17321,6;0,0583;;
17322,24;0,0583;;
17322,88;0,0583;;
17323,52;0,0583;;
17324,16;0,0583;;
17324,8;0,0583;;
17325,44;0,0583;;
17326,08;0,0583;;
17326,72;0,0583;;
17327,36;0,0583;;
17328;0,0583;;
17328,64;0,0583;;
17329,28;0,0583;;
17329,92;0,0583;;
17330,56;0,0583;;
17331,2;0,0583;;
17331,84;0,0583;;
17332,48;0,0583;;
17333,12;0,0583;;
17333,76;0,0583;;
17334,4;0,0583;;
17335,04;0,0583;;
17335,68;0,0583;;
17336,32;0,0583;;
17336,96;0,0583;;
17337,6;0,0583;;
17338,24;0,0583;;
17338,88;0,0583;;
17339,52;0,0583;;
17340,16;0,0583;;
17340,8;0,0583;;
17341,44;0,0583;;
17342,08;0,0583;;
17342,72;0,0583;;
17343,36;0,0583;;
17344;0,0583;;
17344,64;0,0583;;
17345,28;0,0583;;
17345,92;0,0583;;
17346,56;0,0583;;
17347,2;0,0583;;
17347,84;0,0583;;
17348,48;0,0583;;
17349,12;0,0583;;
17349,76;0,0583;;
17350,4;0,0583;;
17351,04;0,0583;;
17351,68;0,0583;;
17352,32;0,0583;;
17352,96;0,0583;;
17353,6;0,0583;;
17354,24;0,0583;;
17354,88;0,0583;;
17355,52;0,0583;;
17356,16;0,0583;;
17356,8;0,0583;;
17357,44;0,0583;;
17358,08;0,0583;;
17358,72;0,0583;;
17359,36;0,0583;;
17360;0,0583;;
17360,64;0,0583;;
17361,28;0,0583;;
17361,92;0,0583;;
17362,56;0,0583;;
17363,2;0,0583;;
17363,84;0,0583;;
17364,48;0,0583;;
17365,12;0,0583;;
17365,76;0,0583;;
17366,4;0,0583;;
17367,04;0,0583;;
17367,68;0,0583;;
17368,32;0,0583;;
17368,96;0,0583;;
17369,6;0,0583;;
17370,24;0,0583;;
17370,88;0,0583;;
17371,52;0,0583;;
17372,16;0,0583;;
17372,8;0,0583;;
17373,44;0,0583;;
17374,08;0,0583;;
17374,72;0,0583;;
17375,36;0,0583;;
17376;0,0583;;
17376,64;0,0583;;
17377,28;0,0583;;
17377,92;0,0583;;
17378,56;0,0583;;
17379,2;0,0583;;
17379,84;0,0583;;
17380,48;0,0583;;
17381,12;0,0583;;
17381,76;0,0583;;
17382,4;0,0583;;
17383,04;0,0583;;
17383,68;0,0583;;
17384,32;0,0583;;
17384,96;0,0583;;
17385,6;0,0583;;
17386,24;0,0583;;
17386,88;0,0583;;
17387,52;0,0583;;
17388,16;0,0583;;
17388,8;0,0583;;
17389,44;0,0583;;
17390,08;0,0583;;
17390,72;0,0583;;
17391,36;0,0583;;
17392;0,0583;;
17392,64;0,0583;;
17393,28;0,0583;;
17393,92;0,0583;;
17394,56;0,0583;;
17395,2;0,0583;;
17395,84;0,0583;;
17396,48;0,0583;;
17397,12;0,0583;;
17397,76;0,0583;;
17398,4;0,0583;;
17399,04;0,0583;;
17399,68;0,0583;;
17400,32;0,0583;;
17400,96;0,0583;;
17401,6;0,0583;;
17402,24;0,0583;;
17402,88;0,0583;;
17403,52;0,0583;;
17404,16;0,0583;;
17404,8;0,0583;;
17405,44;0,0583;;
17406,08;0,0583;;
17406,72;0,0583;;
17407,36;0,0583;;
17408;0,0583;;
17408,64;0,0583;;
17409,28;0,0583;;
17409,92;0,0583;;
17410,56;0,0583;;
17411,2;0,0583;;
17411,84;0,0583;;
17412,48;0,0583;;
17413,12;0,0583;;
17413,76;0,0583;;
17414,4;0,0583;;
17415,04;0,0583;;
17415,68;0,0583;;
17416,32;0,0583;;
17416,96;0,0583;;
17417,6;0,0583;;
17418,24;0,0583;;
17418,88;0,0583;;
17419,52;0,0583;;
17420,16;0,0583;;
17420,8;0,0583;;
17421,44;0,0583;;
17422,08;0,0583;;
17422,72;0,0583;;
17423,36;0,0583;;
17424;0,0583;;
17424,64;0,0583;;
17425,28;0,0583;;
17425,92;0,0583;;
17426,56;0,0583;;
17427,2;0,0583;;
17427,84;0,0583;;
17428,48;0,0583;;
17429,12;0,0583;;
17429,76;0,0583;;
17430,4;0,0583;;
17431,04;0,0583;;
17431,68;0,0583;;
17432,32;0,0583;;
17432,96;0,0583;;
17433,6;0,0583;;
17434,24;0,0583;;
17434,88;0,0583;;
17435,52;0,0583;;
17436,16;0,0583;;
17436,8;0,0583;;
17437,44;0,0583;;
17438,08;0,0583;;
17438,72;0,0583;;
17439,36;0,0583;;
17440;0,0583;;
17440,64;0,0583;;
17441,28;0,0583;;
17441,92;0,0583;;
17442,56;0,0583;;
17443,2;0,0583;;
17443,84;0,0583;;
17444,48;0,0583;;
17445,12;0,0583;;
17445,76;0,0583;;
17446,4;0,0583;;
17447,04;0,0583;;
17447,68;0,0583;;
17448,32;0,0583;;
17448,96;0,0583;;
17449,6;0,0583;;
17450,24;0,0583;;
17450,88;0,0583;;
17451,52;0,0583;;
17452,16;0,0583;;
17452,8;0,0583;;
17453,44;0,0583;;
17454,08;0,0583;;
17454,72;0,0583;;
17455,36;0,0583;;
17456;0,0583;;
17456,64;0,0583;;
17457,28;0,0583;;
17457,92;0,0583;;
17458,56;0,0583;;
17459,2;0,0583;;
17459,84;0,0583;;
17460,48;0,0583;;
17461,12;0,0583;;
17461,76;0,0583;;
17462,4;0,0583;;
17463,04;0,0583;;
17463,68;0,0583;;
17464,32;0,0583;;
17464,96;0,0583;;
17465,6;0,0583;;
17466,24;0,0583;;
17466,88;0,0583;;
17467,52;0,0583;;
17468,16;0,0583;;
17468,8;0,0583;;
17469,44;0,0583;;
17470,08;0,0583;;
17470,72;0,05452;;
17471,36;0,05452;;
17472;0,05452;;
17472,64;0,05452;;
17473,28;0,05452;;
17473,92;0,05452;;
17474,56;0,05452;;
17475,2;0,05452;;
17475,84;0,05452;;
17476,48;0,05452;;
17477,12;0,05452;;
17477,76;0,05452;;
17478,4;0,05452;;
17479,04;0,05452;;
17479,68;0,05452;;
17480,32;0,05452;;
17480,96;0,05452;;
17481,6;0,05452;;
17482,24;0,05452;;
17482,88;0,05452;;
17483,52;0,05452;;
17484,16;0,05452;;
17484,8;0,05452;;
17485,44;0,05452;;
17486,08;0,05452;;
17486,72;0,05452;;
17487,36;0,05452;;
17488;0,05452;;
17488,64;0,05452;;
17489,28;0,05452;;
17489,92;0,05452;;
17490,56;0,05452;;
17491,2;0,05452;;
17491,84;0,05452;;
17492,48;0,05452;;
17493,12;0,05452;;
17493,76;0,05452;;
17494,4;0,05452;;
17495,04;0,05452;;
17495,68;0,05452;;
17496,32;0,05452;;
17496,96;0,05452;;
17497,6;0,05452;;
17498,24;0,05452;;
17498,88;0,05452;;
17499,52;0,05452;;
17500,16;0,05452;;
17500,8;0,05452;;
17501,44;0,05452;;
17502,08;0,05452;;
17502,72;0,05452;;
17503,36;0,05452;;
17504;0,05452;;
17504,64;0,05452;;
17505,28;0,05452;;
17505,92;0,05452;;
17506,56;0,05452;;
17507,2;0,05452;;
17507,84;0,05452;;
17508,48;0,05452;;
17509,12;0,05452;;
17509,76;0,05452;;
17510,4;0,05452;;
17511,04;0,05452;;
17511,68;0,05452;;
17512,32;0,05452;;
17512,96;0,05452;;
17513,6;0,05452;;
17514,24;0,05452;;
17514,88;0,05452;;
17515,52;0,05452;;
17516,16;0,05452;;
17516,8;0,05452;;
17517,44;0,05452;;
17518,08;0,05452;;
17518,72;0,05452;;
17519,36;0,05452;;
17520;0,05452;;
17520,64;0,05452;;
17521,28;0,05452;;
17521,92;0,05452;;
17522,56;0,05452;;
17523,2;0,05452;;
17523,84;0,05452;;
17524,48;0,05452;;
17525,12;0,05452;;
17525,76;0,05452;;
17526,4;0,05452;;
17527,04;0,05452;;
17527,68;0,05452;;
17528,32;0,05452;;
17528,96;0,05452;;
17529,6;0,05452;;
17530,24;0,05452;;
17530,88;0,05452;;
17531,52;0,05452;;
17532,16;0,05452;;
17532,8;0,05452;;
17533,44;0,05452;;
17534,08;0,05452;;
17534,72;0,05452;;
17535,36;0,05452;;
17536;0,05452;;
17536,64;0,05452;;
17537,28;0,05452;;
17537,92;0,05452;;
17538,56;0,05452;;
17539,2;0,05452;;
17539,84;0,05452;;
17540,48;0,05452;;
17541,12;0,05452;;
17541,76;0,05452;;
17542,4;0,05452;;
17543,04;0,05452;;
17543,68;0,05452;;
17544,32;0,05452;;
17544,96;0,05452;;
17545,6;0,05452;;
17546,24;0,05452;;
17546,88;0,05452;;
17547,52;0,05452;;
17548,16;0,05452;;
17548,8;0,05452;;
17549,44;0,05452;;
17550,08;0,05452;;
17550,72;0,05452;;
17551,36;0,05452;;
17552;0,05452;;
17552,64;0,05452;;
17553,28;0,05452;;
17553,92;0,05452;;
17554,56;0,05452;;
17555,2;0,05452;;
17555,84;0,05452;;
17556,48;0,05452;;
17557,12;0,05452;;
17557,76;0,05452;;
17558,4;0,05452;;
17559,04;0,05452;;
17559,68;0,05452;;
17560,32;0,05452;;
17560,96;0,05452;;
17561,6;0,05452;;
17562,24;0,05452;;
17562,88;0,05452;;
17563,52;0,05452;;
17564,16;0,05452;;
17564,8;0,05452;;
17565,44;0,05452;;
17566,08;0,05452;;
17566,72;0,05452;;
17567,36;0,05452;;
17568;0,05452;;
17568,64;0,05452;;
17569,28;0,05452;;
17569,92;0,05452;;
17570,56;0,05452;;
17571,2;0,05452;;
17571,84;0,05452;;
17572,48;0,05452;;
17573,12;0,05452;;
17573,76;0,05452;;
17574,4;0,05452;;
17575,04;0,05452;;
17575,68;0,05452;;
17576,32;0,05452;;
17576,96;0,05452;;
17577,6;0,05452;;
17578,24;0,05452;;
17578,88;0,05452;;
17579,52;0,05452;;
17580,16;0,05452;;
17580,8;0,05452;;
17581,44;0,05452;;
17582,08;0,05452;;
17582,72;0,05452;;
17583,36;0,05452;;
17584;0,05452;;
17584,64;0,05452;;
17585,28;0,05452;;
17585,92;0,05452;;
17586,56;0,05452;;
17587,2;0,05452;;
17587,84;0,05452;;
17588,48;0,05452;;
17589,12;0,05452;;
17589,76;0,05452;;
17590,4;0,05452;;
17591,04;0,05452;;
17591,68;0,05452;;
17592,32;0,05452;;
17592,96;0,05452;;
17593,6;0,05452;;
17594,24;0,05452;;
17594,88;0,05452;;
17595,52;0,05452;;
17596,16;0,05452;;
17596,8;0,05452;;
17597,44;0,05452;;
17598,08;0,05452;;
17598,72;0,05452;;
17599,36;0,05452;;
17600;0,05452;;
17600,64;0,05452;;
17601,28;0,05452;;
17601,92;0,05452;;
17602,56;0,05452;;
17603,2;0,05452;;
17603,84;0,05452;;
17604,48;0,05452;;
17605,12;0,05452;;
17605,76;0,05452;;
17606,4;0,05452;;
17607,04;0,05452;;
17607,68;0,05452;;
17608,32;0,05452;;
17608,96;0,05452;;
17609,6;0,05452;;
17610,24;0,05452;;
17610,88;0,05452;;
17611,52;0,05452;;
17612,16;0,05452;;
17612,8;0,05452;;
17613,44;0,05452;;
17614,08;0,05452;;
17614,72;0,05452;;
17615,36;0,05452;;
17616;0,05452;;
17616,64;0,05452;;
17617,28;0,05452;;
17617,92;0,05452;;
17618,56;0,05452;;
17619,2;0,05452;;
17619,84;0,05452;;
17620,48;0,05452;;
17621,12;0,05452;;
17621,76;0,05452;;
17622,4;0,05452;;
17623,04;0,05452;;
17623,68;0,05452;;
17624,32;0,05452;;
17624,96;0,05452;;
17625,6;0,05452;;
17626,24;0,05452;;
17626,88;0,05452;;
17627,52;0,05452;;
17628,16;0,05452;;
17628,8;0,05452;;
17629,44;0,05452;;
17630,08;0,05452;;
17630,72;0,05452;;
17631,36;0,05452;;
17632;0,05452;;
17632,64;0,05452;;
17633,28;0,05452;;
17633,92;0,05452;;
17634,56;0,05452;;
17635,2;0,05452;;
17635,84;0,05452;;
17636,48;0,05452;;
17637,12;0,05452;;
17637,76;0,05452;;
17638,4;0,05452;;
17639,04;0,05452;;
17639,68;0,05452;;
17640,32;0,05452;;
17640,96;0,05452;;
17641,6;0,05452;;
17642,24;0,05452;;
17642,88;0,05452;;
17643,52;0,05452;;
17644,16;0,05452;;
17644,8;0,05452;;
17645,44;0,05452;;
17646,08;0,05452;;
17646,72;0,05452;;
17647,36;0,05452;;
17648;0,05452;;
17648,64;0,05452;;
17649,28;0,05452;;
17649,92;0,05452;;
17650,56;0,05452;;
17651,2;0,05452;;
17651,84;0,05452;;
17652,48;0,05452;;
17653,12;0,05452;;
17653,76;0,05452;;
17654,4;0,05452;;
17655,04;0,05452;;
17655,68;0,05452;;
17656,32;0,05452;;
17656,96;0,05452;;
17657,6;0,05452;;
17658,24;0,05452;;
17658,88;0,05452;;
17659,52;0,05452;;
17660,16;0,05452;;
17660,8;0,05452;;
17661,44;0,05452;;
17662,08;0,05452;;
17662,72;0,05452;;
17663,36;0,05452;;
17664;0,05452;;
17664,64;0,05452;;
17665,28;0,05452;;
17665,92;0,05452;;
17666,56;0,05452;;
17667,2;0,05452;;
17667,84;0,05452;;
17668,48;0,05452;;
17669,12;0,05452;;
